GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Muscone	Muscone	InChI=1S/C16H30O/c1-15-12-10-8-6-4-2-3-5-7-9-11-13-16(17)14-15/h15H,2-14H2,1H3	CC1CCCCCCCCCCCCC(=O)C1			hydrocarbon	food	food	food	flavouring ingredient						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/10947#section=Top
Mycophenolic acid_130117	Mycophenolic acid	InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC	drug	drug		drug	drug	drug	drug	immunosuppressant		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/446541#section=Top
Myriocin	Myriocin	InChI=1S/C21H39NO6/c1-2-3-4-10-13-17(24)14-11-8-6-5-7-9-12-15-18(25)19(26)21(22,16-23)20(27)28/h9,12,18-19,23,25-26H,2-8,10-11,13-16,22H2,1H3,(H,27,28)/b12-9+/t18-,19+,21+/m1/s1	CCCCCCC(=O)CCCCCCC=CCC(C(C(CO)(C(=O)O)N)O)O	drug	drug		drug	drug	drug	drug	immunosuppressant		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6438394#section=3D-Status
Spectral Match to Myristic acid ethyl ester from NIST14	Myristic acid ethyl ester	InChI=1S/C16H32O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16(17)18-4-2/h3-15H2,1-2H3	CCCCCCCCCCCCCC(OCC)=O	lipid	fatty acid ester		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://www.caymanchem.com/product/10008197
Myristoleic acid	Myristoleic acid	InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-	CCCCC=CCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Myristoleic_acid#section=Top
Spectral Match to Myristoleic acid from NIST14	Myristoleic acid	InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-	CCCCC=CCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Myristoleic_acid#section=Top
N-(Dodecanoyl)sphing-4-enine	N-(Dodecanoyl)sphing-4-enine	InChI=1S/C30H59NO3/c1-3-5-7-9-11-13-14-15-16-18-19-21-23-25-29(33)28(27-32)31-30(34)26-24-22-20-17-12-10-8-6-4-2/h23,25,28-29,32-33H,3-22,24,26-27H2,1-2H3,(H,31,34)/b25-23+/t28-,29+/m0/s1	CCCCCCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCC)O	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5283562
N-ACETYL-D-TRYPTOPHAN	N-Acetyl-Tryptophan	InChI=1S/C13H14N2O3/c1-8(16)15-12(13(17)18)6-9-7-14-11-5-3-2-4-10(9)11/h2-5,7,12,14H,6H2,1H3,(H,15,16)(H,17,18)/t12-/m1/s1	CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O	amino acid / peptide	acetylated amino acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/439917
N-Acetyldihydrosphingosine	N-Acetyl-dihydro-Sphingosine	InChI=1S/C20H41NO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20(24)19(17-22)21-18(2)23/h19-20,22,24H,3-17H2,1-2H3,(H,21,23)/t19-,20+/m0/s1	CCCCCCCCCCCCCCC[C@@H](O)[C@@H](NC(C)=O)CO	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://www.caymanchem.com/product/20168
N-Acetyl-L-methionine	N-Acetyl-methionine	InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1	CC(=O)NC(CCSC)C(=O)O	amino acid / peptide	acetylated amino acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/448580
N-Acetyl-L-tyrosine	N-Acetyl-tyrosine	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	amino acid / peptide	acetylated amino acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/68310
Spectral Match to L-Phenylalanine, N-acetyl- from NIST14	N-acetyl-phenylalanine	InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)/t10-/m0/s1	CC(=O)NC(CC1=CC=CC=C1)C(=O)O	amino acid / peptide	acetylated amino acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/N-Acetyl-L-phenylalanine#section=Top
N-Acetylsphingosine	N-Acetyl-sphingosine	InChI=1S/C20H39NO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20(24)19(17-22)21-18(2)23/h15-16,19-20,22,24H,3-14,17H2,1-2H3,(H,21,23)/b16-15+/t19-,20+/m0/s1	CCCCCCCCCCCCCC=CC(C(CO)NC(=O)C)O	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5497136
N-behenoyl-5-hydroxytryptamide	N-behenoyl-5-hydroxytryptamide	InChI=1S/C32H54N2O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(36)33-25-24-28-27-34-31-23-22-29(35)26-30(28)31/h22-23,26-27,34-35H,2-21,24-25H2,1H3,(H,33,36)	CCCCCCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=C(C=C2)O				food	food	food	plant						yes	yes	yes	yes	coffee	https://pubchem.ncbi.nlm.nih.gov/compound/179356
N-Butylscopolaminium cation	N-Butylscopolaminium	InChI=1S/C21H30NO4.BrH/c1-3-4-10-22(2)17-11-15(12-18(22)20-19(17)26-20)25-21(24)16(13-23)14-8-6-5-7-9-14;/h5-9,15-20,23H,3-4,10-13H2,1-2H3;1H/q+1;/p-1/t15?,16?,17-,18-,19-,20+,22?;/m0./s1	CCCC[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C.[Br-]	drug	drug		drug	drug	drug	drug	anticholinergic		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9003#section=Top
N-Cyclohexanecarbonylpentadecylamine	N-Cyclohexanecarbonylpentadecylamine	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	synthetic	synthetic	literature limited	literature limited				yes	yes	yes	yes	Selective inhibitors of NAAA	https://www.ncbi.nlm.nih.gov/pubmed/14686878
N-Demethylerythromycin	N-Demethylerythromycin	InChI=1S/C36H65NO13/c1-13-24-36(10,44)29(40)19(4)26(38)17(2)15-34(8,43)31(50-33-27(39)23(37-11)14-18(3)46-33)20(5)28(21(6)32(42)48-24)49-25-16-35(9,45-12)30(41)22(7)47-25/h17-25,27-31,33,37,39-41,43-44H,13-16H2,1-12H3/t17-,18-,19+,20+,21-,22+,23+,24-,25+,27-,28+,29-,30+,31-,33+,34-,35-,36-/m1/s1	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)NC)O)(C)O)C)C)O)(C)O	drug	drug metabolite		drug	drug	drug metabolite	drug metabolite	antibiotic	erythromycin metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/10010092
N-lignoceroyl-5-hydroxytryptamide	N-lignoceroyl-5-hydroxytryptamide	literature limited	literature limited	literature limited	literature limited	literature limited	food	food	food	plant	literature limited	literature limited				yes	yes	yes	yes	coffee	http://www.waters.com/waters/library.htm?locale=en_BE&lid=1819155&cid=511436
Spectral Match to Abrine from NIST14	N-Methyl-tryptophan	InChI=1S/C12H14N2O2/c1-13-11(12(15)16)6-8-7-14-10-5-3-2-4-9(8)10/h2-5,7,11,13-14H,6H2,1H3,(H,15,16)/t11-/m0/s1	CNC(CC1=CNC2=CC=CC=C21)C(=O)O	amino acid / peptide	amino acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Abrine#section=Top
N-Myristoylsphinganine	N-Myristoylsphinganine			lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://www.sigmaaldrich.com/catalog/product/sigma/80760?lang=en&region=US
N-Octanoyldihydrosphingosine	N-Octanoyldihydrosphingosine	InChI=1S/C26H53NO3/c1-3-5-7-9-10-11-12-13-14-15-16-18-19-21-23(28)25(27)26(30)24(29)22-20-17-8-6-4-2/h23,25-26,28,30H,3-22,27H2,1-2H3/t23-,25+,26?/m1/s1	CCCCCCCCCCCCCCCC(C(C(C(=O)CCCCCCC)O)N)O	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/129661802#section=Top
N-Octanoylsphingosine	N-Octanoylsphingosine	InChI=1S/C26H51NO3/c1-3-5-7-9-10-11-12-13-14-15-16-18-19-21-25(29)24(23-28)27-26(30)22-20-17-8-6-4-2/h19,21,24-25,28-29H,3-18,20,22-23H2,1-2H3,(H,27,30)/b21-19+/t24-,25+/m0/s1	CCCCCCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCC)O	lipid	sphingolipid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5702614
Spectral Match to N-Oleoyl-4-sphingenine from NIST14	N-Oleoyl-4-sphingenine			lipid			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		
N-Oleoylglycine	N-Oleoylglycine	InChI=1S/C20H37NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h9-10H,2-8,11-18H2,1H3,(H,21,22)(H,23,24)/b10-9-	CCCCCCCCC=CCCCCCCCC(=O)NCC(=O)O	lipid		fatty acyl	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/N-oleoylglycine
N-Palmitoyl-D-sphingosine	N-Palmitoyl-sphingosine	InChI=1S/C34H67NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)32(31-36)35-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27,29,32-33,36-37H,3-26,28,30-31H2,1-2H3,(H,35,38)/b29-27+	CCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCCCC)O	lipid	sphingolipid	ceramide	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5353456
N-Palmitoylglycine	N-Palmitoylglycine	InChI=1S/C18H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17(20)19-16-18(21)22/h2-16H2,1H3,(H,19,20)(H,21,22)	CCCCCCCCCCCCCCCC(=O)NCC(=O)O	lipid	fatty acid derivative	fatty amide	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/151008
Massbank:FIO00208 Naringenin	Naringenin	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2	O=C1CC(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3	phytochemical	flavanone	flavanone	food	food	food	plant					citrus	yes	yes	yes	yes	gut bacteria implicated	https://pubchem.ncbi.nlm.nih.gov/compound/932
Massbank:FIO00209 Naringenin	Naringenin	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2	O=C1CC(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3	phytochemical	flavanone	flavanone	food	food	food	plant					citrus	yes	yes	yes	yes	gut bacteria implicated	https://pubchem.ncbi.nlm.nih.gov/compound/932
Spectral Match to Naringenin from NIST14	Naringenin	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2	O=C1CC(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3	phytochemical	flavanone	flavanone	food	food	food	plant					citrus	yes	yes	yes	yes	gut bacteria implicated	https://pubchem.ncbi.nlm.nih.gov/compound/932
Massbank:PB000785 Naringin|(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)chroman-4-one	Naringin	InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	phytochemical	glycoside		food	food	food	plant					citrus	yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/442428#section=Top
Massbank:PB005725 Naringin|(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one	Naringin	InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	phytochemical	glycoside		food	food	food	plant					citrus	yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/442428#section=Top
NCGC00015088-09_C12H14N2O_N-[2-(1H-Indol-3-yl)ethyl]acetamide	N-Acetyltryptamine	InChI=1S/C12H14N2O/c1-9(15)13-7-6-10-8-14-12-5-3-2-4-11(10)12/h2-5,8,14H,6-7H2,1H3,(H,13,15)	CC(=O)NCCC1=CNC2=CC=CC=C21	natural product		benzopyrrole	unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/N-Acetyltryptamine#section=ChEBI-Ontology
NCGC00025125-21!N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide	Colchicine	InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1	CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	natural product	alkaloid		unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6167#section=Top
NCGC00095546-02!2,4-dihydroxyheptadec-16-enyl acetate	2,4-dihydroxyheptadec-16-enyl acetate	InChI=1S/C19H36O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-18(21)15-19(22)16-23-17(2)20/h3,18-19,21-22H,1,4-16H2,2H3	CC(=O)OCC(CC(CCCCCCCCCCCC=C)O)O	lipid	fatty acid		food	food	food	plant					fruits, including avocado	yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3624980
NCGC00169088-03_C17H14N2O4_Spiro[3H-1,4-benzodiazepine-3,2'-oxirane]-2,5(1H,4H)-dione, 3'-(3-hydroxyphenyl)-4-methyl-, (3S,3'R)-	Cyclopenol	InChI=1S/C17H14N2O4/c1-19-15(21)12-7-2-3-8-13(12)18-16(22)17(19)14(23-17)10-5-4-6-11(20)9-10/h2-9,14,20H,1H3,(H,18,22)/t14-,17+/m1/s1	CN1C(=O)C2=CC=CC=C2NC(=O)C13C(O3)C4=CC(=CC=C4)O			benzodiazepines	unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/16681741#section=Top
NCGC00169471-02!1-(3-acetyl-2,4,6-trihydroxyphenyl)ethanone	1-(3-acetyl-2,4,6-trihydroxyphenyl)ethanone			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00169584-03_C28H38O7_Methyl (3beta,5beta,8alpha,9beta,10alpha,13alpha)-3-acetoxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate	Methyl (3beta,5beta,8alpha,9beta,10alpha,13alpha)-3-acetoxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00169650-03!5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-6-(3,4,5-trihydroxyoxan-2-yl)chromen-4-one	5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-6-(3,4,5-trihydroxyoxan-2-yl)chromen-4-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00169660-02_C22H30O3_2-Hydroxy-6-[(8Z,11Z)-8,11,14-pentadecatrien-1-yl]benzoic acid	2-Hydroxy-6-[(8Z,11Z)-8,11,14-pentadecatrien-1-yl]benzoic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00169702-02!(5R)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one	(5R)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00169984-03!(3R,5R)-3,5-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-1,4-dihydroxycyclohexane-1-carboxylic acid	(3R,5R)-3,5-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-1,4-dihydroxycyclohexane-1-carboxylic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180022-02!6-[[(3S,4S,6aR,8aR,9S,10R,12aS,14bR)-9-[3,5-dihydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-10-hydroxy-4-(hydroxymethyl)-4,6a,6b,8a,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4-dihydroxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid	6-[[(3S,4S,6aR,8aR,9S,10R,12aS,14bR)-9-[3,5-dihydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-10-hydroxy-4-(hydroxymethyl)-4,6a,6b,8a,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4-dihydroxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180025-03!(2R,3S,4S,5R,6S)-2-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol	(2R,3S,4S,5R,6S)-2-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180141-02!2-[[7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	2-[[7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180218-02!	NCGC00180218-02!	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural products database hit	natural products database hit	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
NCGC00180266-02!3,8-dihydroxy-6-methyl-9-oxoxanthene-1-carboxylic acid	3,8-dihydroxy-6-methyl-9-oxoxanthene-1-carboxylic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180407-02!7-hydroxy-5-methyl-2-(2-oxopropyl)-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	7-hydroxy-5-methyl-2-(2-oxopropyl)-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180427-03_C41H56N8O7_1,4,7,10,13,16,19-Heptaazacyclotricosane-2,5,8,11,14,17,20-heptone, 3-(1H-indol-3-ylmethyl)-6,18-dimethyl-9,15-bis(1-methylethyl)-12-(1-phenylethyl)-	1,4,7,10,13,16,19-Heptaazacyclotricosane-2,5,8,11,14,17,20-heptone, 3-(1H-indol-3-ylmethyl)-6,18-dimethyl-9,15-bis(1-methylethyl)-12-(1-phenylethyl)-			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180491-02_C11H14N4O4S_6H-Purin-6-one, 1,9-dihydro-9-(5-S-methyl-5-thiopentofuranosyl)-	6H-Purin-6-one, 1,9-dihydro-9-(5-S-methyl-5-thiopentofuranosyl)-			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180497-02!	NCGC00180497-02!	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural products database hit	natural products database hit	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
NCGC00180666-02!(2R,3S,4S,5R,6S)-2-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol	(2R,3S,4S,5R,6S)-2-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180733-02!(E)-9-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylnon-8-en-1-one	(E)-9-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylnon-8-en-1-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00180838-02!(E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpent-2-en-1-one	(E)-5-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylpent-2-en-1-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00186665-03!2,3-dihydroxypropyl hexadecanoate	Glyceryl Palmitate	InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3	CCCCCCCCCCCCCCCC(=O)OCC(CO)O	lipid	monoglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/2_3-dihydroxypropyl_hexadecanoate#section=Top
NCGC00247500-02!(2E,4E,12E)-13-(1,3-benzodioxol-5-yl)-N-(2-methylpropyl)trideca-2,4,12-trienamide	(2E,4E,12E)-13-(1,3-benzodioxol-5-yl)-N-(2-methylpropyl)trideca-2,4,12-trienamide			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00263645-02_C11H15N5O3S_	NCGC00263645-02_C11H15N5O3S_			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00347379-02_C46H74O16_Olean-12-en-28-oic acid, 23-hydroxy-3-[[O-beta-D-xylopyranosyl-(1->3)-O-6-deoxy-alpha-L-mannopyranosyl-(1->2)-alpha-L-arabinopyranosyl]oxy]-, (3beta,5xi,9xi)-	Olean-12-en-28-oic acid, 23-hydroxy-3-[[O-beta-D-xylopyranosyl-(1->3)-O-6-deoxy-alpha-L-mannopyranosyl-(1->2)-alpha-L-arabinopyranosyl]oxy]-, (3beta,5xi,9xi)-			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00347382-02!(2E,8E)-9-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylnona-2,8-dien-1-one	(2E,8E)-9-(1,3-benzodioxol-5-yl)-1-piperidin-1-ylnona-2,8-dien-1-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00347602-02!1,3,7-trihydroxy-6-methoxy-4,5-bis(3-methylbut-2-enyl)xanthen-9-one	1,3,7-trihydroxy-6-methoxy-4,5-bis(3-methylbut-2-enyl)xanthen-9-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
